reference_date,horizon,target,target_end_date,location,output_type,quantile_number,value
2023-10-14,-1,wk inc flu hosp,2023-10-07,10,quantile,0.850,0.3500000000000001
2023-10-14,-1,wk inc flu hosp,2023-10-07,10,quantile,0.900,0.4000000000000001
2023-10-14,-1,wk inc flu hosp,2023-10-07,10,quantile,0.950,0.45
2023-10-14,-1,wk inc flu hosp,2023-10-07,10,quantile,0.975,0.475
2023-10-14,-1,wk inc flu hosp,2023-10-07,10,quantile,0.990,0.49
2023-10-14,-1,wk inc flu hosp,2023-10-07,11,quantile,0.010,-0.49
2023-10-14,-1,wk inc flu hosp,2023-10-07,11,quantile,0.025,-0.475
2023-10-14,-1,wk inc flu hosp,2023-10-07,11,quantile,0.050,-0.45
2023-10-14,-1,wk inc flu hosp,2023-10-07,11,quantile,0.100,-0.4
2023-10-14,-1,wk inc flu hosp,2023-10-07,11,quantile,0.150,-0.35
2023-10-14,-1,wk inc flu hosp,2023-10-07,11,quantile,0.200,-0.3
2023-10-14,-1,wk inc flu hosp,2023-10-07,11,quantile,0.250,-0.25
2023-10-14,-1,wk inc flu hosp,2023-10-07,11,quantile,0.300,-0.2
2023-10-14,-1,wk inc flu hosp,2023-10-07,11,quantile,0.350,-0.1499999999999999
2023-10-14,-1,wk inc flu hosp,2023-10-07,11,quantile,0.400,-0.0999999999999999
2023-10-14,-1,wk inc flu hosp,2023-10-07,11,quantile,0.450,-0.0499999999999999
2023-10-14,-1,wk inc flu hosp,2023-10-07,11,quantile,0.500,0.0
2023-10-14,-1,wk inc flu hosp,2023-10-07,11,quantile,0.550,0.05
2023-10-14,-1,wk inc flu hosp,2023-10-07,11,quantile,0.600,0.1
2023-10-14,-1,wk inc flu hosp,2023-10-07,11,quantile,0.650,0.1500000000000001
2023-10-14,-1,wk inc flu hosp,2023-10-07,11,quantile,0.700,0.2
2023-10-14,-1,wk inc flu hosp,2023-10-07,11,quantile,0.750,0.2500000000000001
2023-10-14,-1,wk inc flu hosp,2023-10-07,11,quantile,0.800,0.3
2023-10-14,-1,wk inc flu hosp,2023-10-07,11,quantile,0.850,0.3500000000000001
2023-10-14,-1,wk inc flu hosp,2023-10-07,11,quantile,0.900,0.4000000000000001
2023-10-14,-1,wk inc flu hosp,2023-10-07,11,quantile,0.950,0.45
2023-10-14,-1,wk inc flu hosp,2023-10-07,11,quantile,0.975,0.475
2023-10-14,-1,wk inc flu hosp,2023-10-07,11,quantile,0.990,0.49
2023-10-14,-1,wk inc flu hosp,2023-10-07,12,quantile,0.010,-0.49
2023-10-14,-1,wk inc flu hosp,2023-10-07,12,quantile,0.025,-0.475
2023-10-14,-1,wk inc flu hosp,2023-10-07,12,quantile,0.050,-0.45
2023-10-14,-1,wk inc flu hosp,2023-10-07,12,quantile,0.100,-0.4
2023-10-14,-1,wk inc flu hosp,2023-10-07,12,quantile,0.150,-0.35
2023-10-14,-1,wk inc flu hosp,2023-10-07,12,quantile,0.200,-0.3
2023-10-14,-1,wk inc flu hosp,2023-10-07,12,quantile,0.250,-0.25
2023-10-14,-1,wk inc flu hosp,2023-10-07,12,quantile,0.300,-0.2
2023-10-14,-1,wk inc flu hosp,2023-10-07,12,quantile,0.350,-0.1499999999999999
2023-10-14,-1,wk inc flu hosp,2023-10-07,12,quantile,0.400,-0.0999999999999999
2023-10-14,-1,wk inc flu hosp,2023-10-07,12,quantile,0.450,-0.0499999999999999
2023-10-14,-1,wk inc flu hosp,2023-10-07,12,quantile,0.500,0.0
2023-10-14,-1,wk inc flu hosp,2023-10-07,12,quantile,0.550,0.05
2023-10-14,-1,wk inc flu hosp,2023-10-07,12,quantile,0.600,0.1
2023-10-14,-1,wk inc flu hosp,2023-10-07,12,quantile,0.650,0.1500000000000001
2023-10-14,-1,wk inc flu hosp,2023-10-07,12,quantile,0.700,0.2
2023-10-14,-1,wk inc flu hosp,2023-10-07,12,quantile,0.750,0.2500000000000001
2023-10-14,-1,wk inc flu hosp,2023-10-07,12,quantile,0.800,0.3
2023-10-14,-1,wk inc flu hosp,2023-10-07,12,quantile,0.850,0.3500000000000001
2023-10-14,-1,wk inc flu hosp,2023-10-07,12,quantile,0.900,0.4000000000000001
2023-10-14,-1,wk inc flu hosp,2023-10-07,12,quantile,0.950,0.45
2023-10-14,-1,wk inc flu hosp,2023-10-07,12,quantile,0.975,0.475
2023-10-14,-1,wk inc flu hosp,2023-10-07,12,quantile,0.990,0.49
2023-10-14,-1,wk inc flu hosp,2023-10-07,13,quantile,0.010,-0.49
2023-10-14,-1,wk inc flu hosp,2023-10-07,13,quantile,0.025,-0.475
2023-10-14,-1,wk inc flu hosp,2023-10-07,13,quantile,0.050,-0.45
2023-10-14,-1,wk inc flu hosp,2023-10-07,13,quantile,0.100,-0.4
2023-10-14,-1,wk inc flu hosp,2023-10-07,13,quantile,0.150,-0.35
2023-10-14,-1,wk inc flu hosp,2023-10-07,13,quantile,0.200,-0.3
2023-10-14,-1,wk inc flu hosp,2023-10-07,13,quantile,0.250,-0.25
2023-10-14,-1,wk inc flu hosp,2023-10-07,13,quantile,0.300,-0.2
2023-10-14,-1,wk inc flu hosp,2023-10-07,13,quantile,0.350,-0.1499999999999999
2023-10-14,-1,wk inc flu hosp,2023-10-07,13,quantile,0.400,-0.0999999999999999
2023-10-14,-1,wk inc flu hosp,2023-10-07,13,quantile,0.450,-0.0499999999999999
2023-10-14,-1,wk inc flu hosp,2023-10-07,13,quantile,0.500,0.0
2023-10-14,-1,wk inc flu hosp,2023-10-07,13,quantile,0.550,0.05
2023-10-14,-1,wk inc flu hosp,2023-10-07,13,quantile,0.600,0.1
2023-10-14,-1,wk inc flu hosp,2023-10-07,13,quantile,0.650,0.1500000000000001
2023-10-14,-1,wk inc flu hosp,2023-10-07,13,quantile,0.700,0.2
2023-10-14,-1,wk inc flu hosp,2023-10-07,13,quantile,0.750,0.2500000000000001
2023-10-14,-1,wk inc flu hosp,2023-10-07,13,quantile,0.800,0.3
2023-10-14,-1,wk inc flu hosp,2023-10-07,13,quantile,0.850,0.3500000000000001
2023-10-14,-1,wk inc flu hosp,2023-10-07,13,quantile,0.900,0.4000000000000001
2023-10-14,-1,wk inc flu hosp,2023-10-07,13,quantile,0.950,0.45
2023-10-14,-1,wk inc flu hosp,2023-10-07,13,quantile,0.975,0.475
2023-10-14,-1,wk inc flu hosp,2023-10-07,13,quantile,0.990,0.49
2023-10-14,-1,wk inc flu hosp,2023-10-07,15,quantile,0.010,-0.49
2023-10-14,-1,wk inc flu hosp,2023-10-07,15,quantile,0.025,-0.475
2023-10-14,-1,wk inc flu hosp,2023-10-07,15,quantile,0.050,-0.45
2023-10-14,-1,wk inc flu hosp,2023-10-07,15,quantile,0.100,-0.4
2023-10-14,-1,wk inc flu hosp,2023-10-07,15,quantile,0.150,-0.35
2023-10-14,-1,wk inc flu hosp,2023-10-07,15,quantile,0.200,-0.3
2023-10-14,-1,wk inc flu hosp,2023-10-07,15,quantile,0.250,-0.25
2023-10-14,-1,wk inc flu hosp,2023-10-07,15,quantile,0.300,-0.2
2023-10-14,-1,wk inc flu hosp,2023-10-07,15,quantile,0.350,-0.1499999999999999
2023-10-14,-1,wk inc flu hosp,2023-10-07,15,quantile,0.400,-0.0999999999999999
2023-10-14,-1,wk inc flu hosp,2023-10-07,15,quantile,0.450,-0.0499999999999999
2023-10-14,-1,wk inc flu hosp,2023-10-07,15,quantile,0.500,0.0
2023-10-14,-1,wk inc flu hosp,2023-10-07,15,quantile,0.550,0.05
2023-10-14,-1,wk inc flu hosp,2023-10-07,15,quantile,0.600,0.1
2023-10-14,-1,wk inc flu hosp,2023-10-07,15,quantile,0.650,0.1500000000000001
2023-10-14,-1,wk inc flu hosp,2023-10-07,15,quantile,0.700,0.2
2023-10-14,-1,wk inc flu hosp,2023-10-07,15,quantile,0.750,0.2500000000000001
2023-10-14,-1,wk inc flu hosp,2023-10-07,15,quantile,0.800,0.3
2023-10-14,-1,wk inc flu hosp,2023-10-07,15,quantile,0.850,0.3500000000000001
2023-10-14,-1,wk inc flu hosp,2023-10-07,15,quantile,0.900,0.4000000000000001
2023-10-14,-1,wk inc flu hosp,2023-10-07,15,quantile,0.950,0.45
2023-10-14,-1,wk inc flu hosp,2023-10-07,15,quantile,0.975,0.475
2023-10-14,-1,wk inc flu hosp,2023-10-07,15,quantile,0.990,0.49
2023-10-14,-1,wk inc flu hosp,2023-10-07,16,quantile,0.010,-0.49
2023-10-14,-1,wk inc flu hosp,2023-10-07,16,quantile,0.025,-0.475
2023-10-14,-1,wk inc flu hosp,2023-10-07,16,quantile,0.050,-0.45
2023-10-14,-1,wk inc flu hosp,2023-10-07,16,quantile,0.100,-0.4
2023-10-14,-1,wk inc flu hosp,2023-10-07,16,quantile,0.150,-0.35
2023-10-14,-1,wk inc flu hosp,2023-10-07,16,quantile,0.200,-0.3
2023-10-14,-1,wk inc flu hosp,2023-10-07,16,quantile,0.250,-0.25
2023-10-14,-1,wk inc flu hosp,2023-10-07,16,quantile,0.300,-0.2
2023-10-14,-1,wk inc flu hosp,2023-10-07,16,quantile,0.350,-0.1499999999999999
2023-10-14,-1,wk inc flu hosp,2023-10-07,16,quantile,0.400,-0.0999999999999999
2023-10-14,-1,wk inc flu hosp,2023-10-07,16,quantile,0.450,-0.0499999999999999
2023-10-14,-1,wk inc flu hosp,2023-10-07,16,quantile,0.500,0.0
2023-10-14,-1,wk inc flu hosp,2023-10-07,16,quantile,0.550,0.05
2023-10-14,-1,wk inc flu hosp,2023-10-07,16,quantile,0.600,0.1
2023-10-14,-1,wk inc flu hosp,2023-10-07,16,quantile,0.650,0.1500000000000001
2023-10-14,-1,wk inc flu hosp,2023-10-07,16,quantile,0.700,0.2
2023-10-14,-1,wk inc flu hosp,2023-10-07,16,quantile,0.750,0.2500000000000001
2023-10-14,-1,wk inc flu hosp,2023-10-07,16,quantile,0.800,0.3
2023-10-14,-1,wk inc flu hosp,2023-10-07,16,quantile,0.850,0.3500000000000001
2023-10-14,-1,wk inc flu hosp,2023-10-07,16,quantile,0.900,0.4000000000000001
2023-10-14,-1,wk inc flu hosp,2023-10-07,16,quantile,0.950,0.45
2023-10-14,-1,wk inc flu hosp,2023-10-07,16,quantile,0.975,0.475
2023-10-14,-1,wk inc flu hosp,2023-10-07,16,quantile,0.990,0.49
2023-10-14,-1,wk inc flu hosp,2023-10-07,17,quantile,0.010,-0.49
2023-10-14,-1,wk inc flu hosp,2023-10-07,17,quantile,0.025,-0.475
2023-10-14,-1,wk inc flu hosp,2023-10-07,17,quantile,0.050,-0.45
2023-10-14,-1,wk inc flu hosp,2023-10-07,17,quantile,0.100,-0.4
2023-10-14,-1,wk inc flu hosp,2023-10-07,17,quantile,0.150,-0.35
2023-10-14,-1,wk inc flu hosp,2023-10-07,17,quantile,0.200,-0.3
2023-10-14,-1,wk inc flu hosp,2023-10-07,17,quantile,0.250,-0.25
2023-10-14,-1,wk inc flu hosp,2023-10-07,17,quantile,0.300,-0.2
2023-10-14,-1,wk inc flu hosp,2023-10-07,17,quantile,0.350,-0.1499999999999999
2023-10-14,-1,wk inc flu hosp,2023-10-07,17,quantile,0.400,-0.0999999999999999
2023-10-14,-1,wk inc flu hosp,2023-10-07,17,quantile,0.450,-0.0499999999999999
2023-10-14,-1,wk inc flu hosp,2023-10-07,17,quantile,0.500,0.0
2023-10-14,-1,wk inc flu hosp,2023-10-07,17,quantile,0.550,0.05
2023-10-14,-1,wk inc flu hosp,2023-10-07,17,quantile,0.600,0.1
2023-10-14,-1,wk inc flu hosp,2023-10-07,17,quantile,0.650,0.1500000000000001
2023-10-14,-1,wk inc flu hosp,2023-10-07,17,quantile,0.700,0.2
2023-10-14,-1,wk inc flu hosp,2023-10-07,17,quantile,0.750,0.2500000000000001
2023-10-14,-1,wk inc flu hosp,2023-10-07,17,quantile,0.800,0.3
2023-10-14,-1,wk inc flu hosp,2023-10-07,17,quantile,0.850,0.3500000000000001
2023-10-14,-1,wk inc flu hosp,2023-10-07,17,quantile,0.900,0.4000000000000001
2023-10-14,-1,wk inc flu hosp,2023-10-07,17,quantile,0.950,0.45
2023-10-14,-1,wk inc flu hosp,2023-10-07,17,quantile,0.975,0.475
2023-10-14,-1,wk inc flu hosp,2023-10-07,17,quantile,0.990,0.49
2023-10-14,-1,wk inc flu hosp,2023-10-07,18,quantile,0.010,-0.49
2023-10-14,-1,wk inc flu hosp,2023-10-07,18,quantile,0.025,-0.475
